alternative  encode
UOBM38  ALBERT

cosine

Method 1 K35  score: 18618.28181716269
Method 1 K36  score: 18617.663666468743
Method 1 K37  score: 18619.017943763876
Method 1 K38  score: 18618.57751236159
Method 1 K39  score: 18618.82856039138
Method 1 K40  score: 18618.210409697433
Method 1 K41  score: 18618.96420692652
Method 1 K42  score: 18618.523775524234
Method 1 K43  score: 18618.774823554024
Method 1 K44  score: 18618.361091658713
Method 1 K45  score: 18618.919146955766
Method 1 K46  score: 18618.47871555348
Method 1 K47  score: 18618.72976358327
Method 1 K48  score: 18618.111612889323
Method 1 K49  score: 18619.465890184452
Method 1 K50  score: 18619.025458782166
Method 1 K51  score: 18619.276506811955
Method 1 K52  score: 18618.65835611801
Method 1 K53  score: 18619.624841750476
Method 1 K54  score: 18619.18441034819
Method 1 K55  score: 18619.43545837798
Method 1 K56  score: 18618.817307684032
Method 1 K57  score: 18619.57978177972
Method 1 K58  score: 18619.57978177972
Method 1 K59  score: 18619.39039840722
Method 1 K60  score: 18618.772247713277
Method 1 K61  score: 18620.126525008407
Method 1 K62  score: 18619.68609360612
Method 1 K63  score: 18619.93714163591
Method 1 K64  score: 18619.318990941963
Method 1 K65  score: 18618.367557620346
Method 1 K66  score: 18617.927126218055
Method 1 K67  score: 18618.178174247845
Method 1 K68  score: 18617.560023553902
Method 1 K69  score: 18618.440172150255
Method 1 K70  score: 18617.999740747964
Method 1 K71  score: 18736.351148219204
Method 1 K72  score: 18617.63263808381
Method 1 K73  score: 18618.322497649588
Method 1 K74  score: 18735.98242568875
Method 1 K75  score: 18618.13311427709
Method 1 K76  score: 18617.514963583144
Method 1 K77  score: 18618.869240878277
Method 1 K78  score: 18618.428809475987
Method 1 K79  score: 18618.428809475987
Method 1 K80  score: 18618.061706811834
Method 1 K81  score: 18618.395112179496
Method 1 K82  score: 18617.95468077721
Method 1 K83  score: 18618.205728807
Method 1 K84  score: 18617.587578113053
Method 1 K85  score: 18618.941855408186
Method 1 K86  score: 18618.5014240059
Method 1 K87  score: 18618.75247203569
Method 1 K88  score: 18618.134321341742
Method 1 K89  score: 18619.028192444297
Method 1 K90  score: 18618.58776104201
Method 1 K91  score: 18618.8388090718
Method 1 K92  score: 18618.220658377853
Method 1 K93  score: 18619.100806974206
Method 1 K94  score: 18618.66037557192
Method 1 K95  score: 18618.91142360171
Method 1 K96  score: 18618.293272907762
Method 1 K97  score: 18618.983132473542
Method 1 K98  score: 18618.542701071256
Method 1 K99  score: 18618.793749101045
Method 1 K100  score: 18618.1755984071
Method 1 K101  score: 18619.52987570223
Method 1 K102  score: 18619.08944429994
Method 1 K103  score: 18619.34049232973
Method 1 K104  score: 18618.722341635785
Method 1 K105  score: 18619.05574700345
Method 1 K106  score: 18618.615315601164
Method 1 K107  score: 18618.866363630954
Method 1 K108  score: 18618.248212937007
Method 1 K109  score: 18619.60249023214
Method 1 K110  score: 18619.16205882985
Method 1 K111  score: 18619.41310685964
Method 1 K112  score: 18618.794956165697
Method 2 K1  score: 26849.130335837242
Method 2 K2  score: 26853.846864562038
Method 2 K3  score: 26840.11610740937
Method 2 K4  score: 26843.2691490067
Method 2 K5  score: 26842.131592457685
Method 2 K6  score: 26846.84812118248
Method 2 K7  score: 26833.11736402981
Method 2 K8  score: 26836.270405627143
Method 2 K9  score: 27089.721685721233
Method 2 K10  score: 27094.438214446032
Method 2 K11  score: 27080.707457293363
Method 2 K12  score: 27089.860498890695
Method 2 K13  score: 26845.87846716136
Method 2 K14  score: 26850.594995886157
Method 2 K15  score: 26836.864238733488
Method 2 K16  score: 26840.01728033082
Method 2 K17  score: 26840.01728033082
Method 2 K18  score: 26859.20834148583
Method 2 K19  score: 26845.477584333163
Method 2 K20  score: 26848.630625930495
Method 2 K21  score: 26847.330598565564
Method 2 K22  score: 26852.04712729036
Method 2 K23  score: 26838.31637013769
Method 2 K24  score: 26841.469411735023
Method 2 K25  score: 26847.49306938148
Method 2 K26  score: 26852.209598106274
Method 2 K27  score: 26838.478840953605
Method 2 K28  score: 26841.631882550937
Method 2 K29  score: 26851.239944085155
Method 2 K30  score: 26855.95647280995
Method 2 K31  score: 26842.22571565728
Method 2 K32  score: 26845.378757254613
Method 2 K33  score: 26840.331855186003
Method 2 K34  score: 26845.048383910802
Method 2 K35  score: 26831.31762675813
Method 2 K36  score: 26834.47066835546
Method 2 K37  score: 26844.07872988968
Method 2 K38  score: 26848.79525861448
Method 2 K39  score: 26835.064501461806
Method 2 K40  score: 26838.217543059138
Method 2 K41  score: 26840.103321199545
Method 2 K42  score: 26844.819849924344
Method 2 K43  score: 26831.089092771672
Method 2 K44  score: 26800.15740513245
Method 2 K45  score: 26833.104577819988
Method 2 K46  score: 26837.821106544783
Method 2 K47  score: 26824.090349392114
Method 2 K48  score: 26827.243390989446
Method 2 K49  score: 26836.851452523664
Method 2 K50  score: 26841.567981248463
Method 2 K51  score: 26827.83722409579
Method 2 K52  score: 26830.990265693123
Method 2 K53  score: 26843.084041650924
Method 2 K54  score: 26847.800570375723
Method 2 K55  score: 26834.06981322305
Method 2 K56  score: 26837.222854820382
Method 2 K57  score: 26836.085298271366
Method 2 K58  score: 26836.085298271366
Method 2 K59  score: 26827.071069843492
Method 2 K60  score: 26830.224111440824
Method 2 K61  score: 26839.832172975042
Method 2 K62  score: 26844.54870169984
Method 2 K63  score: 26830.81794454717
Method 2 K64  score: 26833.9709861445
Method 2 K65  score: 26845.46479812334
Method 2 K66  score: 26850.18132684814
Method 2 K67  score: 26836.450569695466
Method 2 K68  score: 26839.603611292798
Method 2 K69  score: 26838.303583927867
Method 2 K70  score: 26843.020112652666
Method 2 K71  score: 26835.289355499994
Method 2 K72  score: 26832.442397097326
Method 2 K73  score: 26838.46605474378
Method 2 K74  score: 26849.18258346858
Method 2 K75  score: 26829.451826315908
Method 2 K76  score: 26832.60486791324
Method 2 K77  score: 26842.212929447458
Method 2 K78  score: 26846.929458172257
Method 2 K79  score: 26846.929458172257
Method 2 K80  score: 26836.351742616916
Method 2 K81  score: 26831.30484054831
Method 2 K82  score: 26836.021369273105
Method 2 K83  score: 26822.290612120436
Method 2 K84  score: 26825.443653717768
Method 2 K85  score: 26835.051715251986
Method 2 K86  score: 26839.76824397678
Method 2 K87  score: 26826.037486824112
Method 2 K88  score: 26829.190528421444
Method 2 K89  score: 26848.445518574717
Method 2 K90  score: 26853.162047299516
Method 2 K91  score: 26839.431290146844
Method 2 K92  score: 26842.584331744176
Method 2 K93  score: 26841.284304379245
Method 2 K94  score: 26846.000833104044
Method 2 K95  score: 26832.270075951372
Method 2 K96  score: 26835.423117548704
Method 2 K97  score: 26841.44677519516
Method 2 K98  score: 26846.16330391996
Method 2 K99  score: 26832.432546767286
Method 2 K100  score: 26835.585588364618
Method 2 K101  score: 26845.193649898836
Method 2 K102  score: 26849.910178623635
Method 2 K103  score: 26836.179421470963
Method 2 K104  score: 26839.332463068295
Method 2 K105  score: 26834.285560999688
Method 2 K106  score: 26839.002089724487
Method 2 K107  score: 26825.271332571814
Method 2 K108  score: 26828.424374169146
Method 2 K109  score: 26838.032435703364
Method 2 K110  score: 26842.748964428163
Method 2 K111  score: 26829.01820727549
Method 2 K112  score: 26832.171248872823
