alternative  encode experiment

UOBM37  ALBERT

cosine

Method 1 K27  score: 18622.88171516028
Method 1 K28  score: 18504.23010735014
Method 1 K29  score: 18505.574392985116
Method 1 K30  score: 18623.250986988456
Method 1 K31  score: 18505.378924234057
Method 1 K32  score: 18504.76291290745
Method 1 K33  score: 18505.102366480474
Method 1 K34  score: 18504.66015823098
Method 1 K35  score: 18504.906897729416
Method 1 K36  score: 18504.290886402807
Method 1 K37  score: 18505.635172037786
Method 1 K38  score: 18505.192963788293
Method 1 K39  score: 18505.439703286727
Method 1 K40  score: 18504.82369196012
Method 1 K41  score: 18505.594677894
Method 1 K42  score: 18505.15246964451
Method 1 K43  score: 18505.399209142943
Method 1 K44  score: 18504.783197816334
Method 1 K45  score: 18505.544164963903
Method 1 K46  score: 18505.10195671441
Method 1 K47  score: 18505.348696212845
Method 1 K48  score: 18504.732684886236
Method 1 K49  score: 18506.076970521215
Method 1 K50  score: 18505.634762271722
Method 1 K51  score: 18505.881501770156
Method 1 K52  score: 18505.265490443548
Method 1 K53  score: 18506.2147737967
Method 1 K54  score: 18505.772565547206
Method 1 K55  score: 18506.01930504564
Method 1 K56  score: 18505.40329371903
Method 1 K57  score: 18506.1642608666
Method 1 K58  score: 18505.722052617108
Method 1 K59  score: 18505.968792115542
Method 1 K60  score: 18505.352780788933
Method 1 K61  score: 18506.697066423912
Method 1 K62  score: 18506.25485817442
Method 1 K63  score: 18506.501597672854
Method 1 K64  score: 18505.885586346245
Method 1 K65  score: 18505.020697063414
Method 1 K66  score: 18504.57848881392
Method 1 K67  score: 18504.825228312355
Method 1 K68  score: 18504.209216985746
Method 1 K69  score: 18505.081476116084
Method 1 K70  score: 18504.63926786659
Method 1 K71  score: 18504.886007365025
Method 1 K72  score: 18504.269996038416
Method 1 K73  score: 18504.970184133315
Method 1 K74  score: 18504.527975883822
Method 1 K75  score: 18504.774715382257
Method 1 K76  score: 18504.158704055648
Method 1 K77  score: 18505.502989690627
Method 1 K78  score: 18505.060781441134
Method 1 K79  score: 18505.30752093957
Method 1 K80  score: 18504.69150961296
Method 1 K81  score: 18505.030963185985
Method 1 K82  score: 18504.588754936492
Method 1 K83  score: 18504.835494434927
Method 1 K84  score: 18504.219483108318
Method 1 K85  score: 18505.563768743294
Method 1 K86  score: 18505.1215604938
Method 1 K87  score: 18505.368299992235
Method 1 K88  score: 18504.752288665626
Method 1 K89  score: 18505.64079296611
Method 1 K90  score: 18505.198584716618
Method 1 K91  score: 18505.445324215052
Method 1 K92  score: 18504.829312888443
Method 1 K93  score: 18505.70157201878
Method 1 K94  score: 18505.259363769288
Method 1 K95  score: 18505.506103267722
Method 1 K96  score: 18504.890091941113
Method 1 K97  score: 18505.590280036013
Method 1 K98  score: 18505.14807178652
Method 1 K99  score: 18505.394811284954
Method 1 K100  score: 18504.778799958345
Method 1 K101  score: 18506.123085593325
Method 1 K102  score: 18505.68087734383
Method 1 K103  score: 18505.927616842266
Method 1 K104  score: 18505.311605515657
Method 1 K105  score: 18505.651059088683
Method 1 K106  score: 18505.20885083919
Method 1 K107  score: 18505.455590337624
Method 1 K108  score: 18504.839579011015
Method 1 K109  score: 18506.18386464599
Method 1 K110  score: 18505.741656396498
Method 1 K111  score: 18505.988395894932
Method 1 K112  score: 18505.372384568323
Method 2 K1  score: 26666.703909143558
Method 2 K2  score: 26671.420437868357
Method 2 K3  score: 26657.689680715688
Method 2 K4  score: 26660.842722313017
Method 2 K5  score: 26655.930134348488
Method 2 K6  score: 26660.646663073287
Method 2 K7  score: 26646.915905920618
Method 2 K8  score: 26650.068947517946
Method 2 K9  score: 26905.55190365592
Method 2 K10  score: 26910.26843238072
Method 2 K11  score: 26896.53767522805
Method 2 K12  score: 26899.69071682538
Method 2 K13  score: 26661.452040467677
Method 2 K14  score: 26666.168569192476
Method 2 K15  score: 26652.437812039807
Method 2 K16  score: 26655.590853637135
Method 2 K17  score: 26673.88583788557
Method 2 K18  score: 26678.60236661037
Method 2 K19  score: 26664.8716094577
Method 2 K20  score: 26668.024651055028
Method 2 K21  score: 26489.488068314724
Method 2 K22  score: 26669.664596544128
Method 2 K23  score: 26655.93383939146
Method 2 K24  score: 26659.086880988787
Method 2 K25  score: 26663.1120630905
Method 2 K26  score: 26667.828591815298
Method 2 K27  score: 26666.772782379147
Method 2 K28  score: 26657.250876259957
Method 2 K29  score: 26668.633969209688
Method 2 K30  score: 26677.350497934487
Method 2 K31  score: 26659.619740781818
Method 2 K32  score: 26662.772782379147
Method 2 K33  score: 26654.174293024258
Method 2 K34  score: 26658.890821749057
Method 2 K35  score: 26645.160064596388
Method 2 K36  score: 26648.313106193717
Method 2 K37  score: 26659.696199143447
Method 2 K38  score: 26664.412727868246
Method 2 K39  score: 26650.681970715577
Method 2 K40  score: 26653.835012312906
Method 2 K41  score: 26657.676894505865
Method 2 K42  score: 26662.393423230664
Method 2 K43  score: 26648.662666077995
Method 2 K44  score: 26651.815707675323
Method 2 K45  score: 26646.903119710794
Method 2 K46  score: 26651.619648435593
Method 2 K47  score: 26637.888891282924
Method 2 K48  score: 26641.041932880253
Method 2 K49  score: 26652.425025829983
Method 2 K50  score: 26657.141554554782
Method 2 K51  score: 26643.410797402114
Method 2 K52  score: 26646.563838999442
Method 2 K53  score: 26660.65761434961
Method 2 K54  score: 26665.37414307441
Method 2 K55  score: 26651.64338592174
Method 2 K56  score: 26654.796427519068
Method 2 K57  score: 26649.88383955454
Method 2 K58  score: 26654.600368279338
Method 2 K59  score: 26640.86961112667
Method 2 K60  score: 26644.022652723997
Method 2 K61  score: 26655.40574567373
Method 2 K62  score: 26660.122274398527
Method 2 K63  score: 26646.39151724586
Method 2 K64  score: 26649.544558843187
Method 2 K65  score: 26664.858823247876
Method 2 K66  score: 26669.575351972675
Method 2 K67  score: 26655.844594820006
Method 2 K68  score: 26658.997636417334
Method 2 K69  score: 26655.921053181635
Method 2 K70  score: 26660.637581906434
Method 2 K71  score: 26646.906824753765
Method 2 K72  score: 26650.059866351094
Method 2 K73  score: 26654.085048452805
Method 2 K74  score: 26658.801577177604
Method 2 K75  score: 26645.070820024936
Method 2 K76  score: 26648.223861622264
Method 2 K77  score: 26659.606954571995
Method 2 K78  score: 26664.323483296794
Method 2 K79  score: 26650.592726144125
Method 2 K80  score: 26653.745767741453
Method 2 K81  score: 26645.147278386565
Method 2 K82  score: 26649.863807111364
Method 2 K83  score: 26636.133049958695
Method 2 K84  score: 26639.286091556023
Method 2 K85  score: 26650.669184505754
Method 2 K86  score: 26655.385713230553
Method 2 K87  score: 26641.654956077884
Method 2 K88  score: 26644.807997675212
Method 2 K89  score: 26667.83954309162
Method 2 K90  score: 26672.55607181642
Method 2 K91  score: 26658.82531466375
Method 2 K92  score: 26661.97835626108
Method 2 K93  score: 26658.90177302538
Method 2 K94  score: 26663.61830175018
Method 2 K95  score: 26649.88754459751
Method 2 K96  score: 26653.04058619484
Method 2 K97  score: 26657.06576829655
Method 2 K98  score: 26661.78229702135
Method 2 K99  score: 26648.05153986868
Method 2 K100  score: 26651.20458146601
Method 2 K101  score: 26662.58767441574
Method 2 K102  score: 26667.30420314054
Method 2 K103  score: 26653.57344598787
Method 2 K104  score: 26656.726487585198
Method 2 K105  score: 26648.12799823031
Method 2 K106  score: 26652.84452695511
Method 2 K107  score: 26639.11376980244
Method 2 K108  score: 26642.266811399768
Method 2 K109  score: 26653.6499043495
Method 2 K110  score: 26658.366433074298
Method 2 K111  score: 26644.63567592163
Method 2 K112  score: 26647.788717518957
