alternative  encoding
UOBM37  CoSENT

cosine

Method 1 K80  score: 18551.050524827457
Method 1 K81  score: 18550.848972078467
Method 1 K82  score: 18550.439248612696
Method 1 K83  score: 18550.093456196028
Method 1 K84  score: 18550.574795194494
Method 1 K85  score: 18551.304282163648
Method 1 K86  score: 18550.894558697877
Method 1 K87  score: 18550.54876628121
Method 1 K88  score: 18551.030105279675
Method 1 K89  score: 18551.054268323085
Method 1 K90  score: 18550.644544857314
Method 1 K91  score: 18550.298752440645
Method 1 K92  score: 18550.780091439112
Method 1 K93  score: 18551.033848775303
Method 1 K94  score: 18550.624125309532
Method 1 K95  score: 18550.278332892864
Method 1 K96  score: 18550.75967189133
Method 1 K97  score: 18551.006654505472
Method 1 K98  score: 18550.5969310397
Method 1 K99  score: 18550.251138623033
Method 1 K100  score: 18550.7324776215
Method 1 K101  score: 18551.461964590653
Method 1 K102  score: 18551.052241124882
Method 1 K103  score: 18550.706448708213
Method 1 K104  score: 18551.18778770668
Method 1 K105  score: 18550.98623495769
Method 1 K106  score: 18550.57651149192
Method 1 K107  score: 18550.23071907525
Method 1 K108  score: 18550.712058073717
Method 1 K109  score: 18551.44154504287
Method 1 K110  score: 18551.0318215771
Method 1 K111  score: 18550.68602916043
Method 1 K112  score: 18551.167368158898
Method 2 K1  score: 26676.410513806077
Method 2 K2  score: 26681.032290206484
Method 2 K3  score: 26667.970705851647
Method 2 K4  score: 26669.750395327155
Method 2 K5  score: 26665.47994339533
Method 2 K6  score: 26670.101719795737
Method 2 K7  score: 26657.0401354409
Method 2 K8  score: 26658.81982491641
Method 2 K9  score: 26915.810598593187
Method 2 K10  score: 26920.432374993594
Method 2 K11  score: 26907.370790638757
Method 2 K12  score: 26909.150480114266
Method 2 K13  score: 26671.895114585728
Method 2 K14  score: 26676.516890986135
Method 2 K15  score: 26663.4553066313
Method 2 K16  score: 26665.234996106807
Method 2 K17  score: 26682.734661038532
Method 2 K18  score: 26687.35643743894
Method 2 K19  score: 26674.294853084102
Method 2 K20  score: 26676.07454255961
Method 2 K21  score: 26498.888719939463
Method 2 K22  score: 26678.18774958149
Method 2 K23  score: 26665.126165226655
Method 2 K24  score: 26666.905854702163
Method 2 K25  score: 26671.804090627786
Method 2 K26  score: 26676.425867028192
Method 2 K27  score: 26675.559143339262
Method 2 K28  score: 26665.143972148864
Method 2 K29  score: 26678.219261818183
Method 2 K30  score: 26686.84103821859
Method 2 K31  score: 26669.779453863754
Method 2 K32  score: 26671.559143339262
Method 2 K33  score: 26662.63540277034
Method 2 K34  score: 26667.257179170745
Method 2 K35  score: 26654.19559481591
Method 2 K36  score: 26655.975284291417
Method 2 K37  score: 26669.050573960736
Method 2 K38  score: 26673.672350361143
Method 2 K39  score: 26660.610766006306
Method 2 K40  score: 26662.390455481815
Method 2 K41  score: 26667.14347009257
Method 2 K42  score: 26671.765246492978
Method 2 K43  score: 26658.70366213814
Method 2 K44  score: 26660.48335161365
Method 2 K45  score: 26656.212899681825
Method 2 K46  score: 26660.83467608223
Method 2 K47  score: 26647.773091727395
Method 2 K48  score: 26649.552781202903
Method 2 K49  score: 26662.628070872222
Method 2 K50  score: 26667.24984727263
Method 2 K51  score: 26654.188262917793
Method 2 K52  score: 26655.9679523933
Method 2 K53  score: 26670.017451652344
Method 2 K54  score: 26674.63922805275
Method 2 K55  score: 26661.577643697914
Method 2 K56  score: 26663.357333173422
Method 2 K57  score: 26659.086881241597
Method 2 K58  score: 26663.708657642004
Method 2 K59  score: 26650.647073287168
Method 2 K60  score: 26652.426762762676
Method 2 K61  score: 26665.502052431995
Method 2 K62  score: 26670.123828832402
Method 2 K63  score: 26657.062244477565
Method 2 K64  score: 26658.841933953074
Method 2 K65  score: 26673.467617325026
Method 2 K66  score: 26678.089393725433
Method 2 K67  score: 26665.027809370597
Method 2 K68  score: 26666.807498846105
Method 2 K69  score: 26664.29892946758
Method 2 K70  score: 26668.920705867986
Method 2 K71  score: 26655.85912151315
Method 2 K72  score: 26657.638810988657
Method 2 K73  score: 26662.53704691428
Method 2 K74  score: 26667.158823314687
Method 2 K75  score: 26654.09723895985
Method 2 K76  score: 26655.87692843536
Method 2 K77  score: 26668.952218104678
Method 2 K78  score: 26673.573994505085
Method 2 K79  score: 26660.512410150248
Method 2 K80  score: 26662.292099625756
Method 2 K81  score: 26653.368359056833
Method 2 K82  score: 26657.99013545724
Method 2 K83  score: 26644.928551102403
Method 2 K84  score: 26646.70824057791
Method 2 K85  score: 26659.78353024723
Method 2 K86  score: 26664.405306647637
Method 2 K87  score: 26651.3437222928
Method 2 K88  score: 26653.12341176831
Method 2 K89  score: 26676.3415988848
Method 2 K90  score: 26680.963375285206
Method 2 K91  score: 26667.90179093037
Method 2 K92  score: 26669.681480405878
Method 2 K93  score: 26667.17291102735
Method 2 K94  score: 26671.79468742776
Method 2 K95  score: 26658.733103072922
Method 2 K96  score: 26660.51279254843
Method 2 K97  score: 26665.411028474053
Method 2 K98  score: 26670.03280487446
Method 2 K99  score: 26656.971220519623
Method 2 K100  score: 26658.75090999513
Method 2 K101  score: 26671.82619966445
Method 2 K102  score: 26676.447976064857
Method 2 K103  score: 26663.38639171002
Method 2 K104  score: 26665.16608118553
Method 2 K105  score: 26656.242340616605
Method 2 K106  score: 26660.864117017012
Method 2 K107  score: 26647.802532662176
Method 2 K108  score: 26649.582222137684
Method 2 K109  score: 26662.657511807003
Method 2 K110  score: 26667.27928820741
Method 2 K111  score: 26654.217703852573
Method 2 K112  score: 26655.99739332808
