UOBM36  RoBERTa
Method 2 K37  score: 11703.323176038548
Method 2 K38  score: 11702.454002955748
Method 2 K39  score: 11702.097493391382
Method 2 K40  score: 11702.056402834203


euclid
Method 1 K1  score: 9070.547658766754
Method 1 K2  score: 9070.190526580785
Method 1 K3  score: 9070.4334577846
Method 1 K4  score: 9070.085827437997
Method 1 K5  score: 9070.525852896055
Method 1 K6  score: 9070.168720710086
Method 1 K7  score: 9070.4116519139
Method 1 K8  score: 9070.064021567297
Method 1 K9  score: 9129.606725902615
Method 1 K10  score: 9129.249593716646
Method 1 K11  score: 9129.49252492046
Method 1 K12  score: 9129.144894573858
Method 1 K13  score: 9070.685527753041
Method 1 K14  score: 9070.328395567072
Method 1 K15  score: 9070.571326770887
Method 1 K16  score: 9070.223696424284
Method 1 K17  score: 9070.509118815873
Method 1 K18  score: 9070.151986629904
Method 1 K19  score: 9070.394917833719
Method 1 K20  score: 9070.047287487116
Method 1 K21  score: 9070.489651863454
Method 1 K22  score: 9070.132519677485
Method 1 K23  score: 9070.3754508813
Method 1 K24  score: 9070.027820534697
Method 1 K25  score: 9070.487312945175
Method 1 K26  score: 9070.130180759206
Method 1 K27  score: 9070.373111963021
Method 1 K28  score: 9070.025481616418
Method 1 K29  score: 9070.646987802162
Method 1 K30  score: 9070.289855616193
Method 1 K31  score: 9070.532786820007
Method 1 K32  score: 9070.185156473404
Method 1 K33  score: 9070.467845992756
Method 1 K34  score: 9070.110713806787
Method 1 K35  score: 9070.353645010602
Method 1 K36  score: 9070.006014663999
Method 1 K37  score: 9070.627520849743
Method 1 K38  score: 9070.270388663774
Method 1 K39  score: 9070.513319867589
Method 1 K40  score: 9070.165689520985
Method 2 K1  score: 10949.533263625382
Method 2 K2  score: 10949.462044365913
Method 2 K3  score: 10947.72139392083
Method 2 K4  score: 10947.659003875879
Method 2 K5  score: 10947.722981651817
Method 2 K6  score: 10947.651762392348
Method 2 K7  score: 10945.911111947265
Method 2 K8  score: 10945.848721902314
Method 2 K9  score: 10992.013467828761
Method 2 K10  score: 10991.942248569292
Method 2 K11  score: 10990.20159812421
Method 2 K12  score: 10990.139208079258
Method 2 K13  score: 10948.777821254973
Method 2 K14  score: 10948.706601995504
Method 2 K15  score: 10946.96595155042
Method 2 K16  score: 10946.903561505469
Method 2 K17  score: 10950.211889159002
Method 2 K18  score: 10950.140669899532
Method 2 K19  score: 10948.40001945445
Method 2 K20  score: 10948.337629409498
Method 2 K21  score: 10948.423313928944
Method 2 K22  score: 10948.352094669475
Method 2 K23  score: 10946.611444224392
Method 2 K24  score: 10946.54905417944
Method 2 K25  score: 10948.401607185437
Method 2 K26  score: 10948.330387925967
Method 2 K27  score: 10946.589737480885
Method 2 K28  score: 10946.527347435933
Method 2 K29  score: 10949.456446788592
Method 2 K30  score: 10949.385227529123
Method 2 K31  score: 10947.64457708404
Method 2 K32  score: 10947.582187039088
Method 2 K33  score: 10946.61303195538
Method 2 K34  score: 10946.54181269591
Method 2 K35  score: 10944.801162250827
Method 2 K36  score: 10944.738772205876
Method 2 K37  score: 10947.667871558535
Method 2 K38  score: 10947.596652299066
Method 2 K39  score: 10945.856001853983
Method 2 K40  score: 10945.793611809031
