UOBM37  RoBERTa

cosine
Method 1 K97  score: 25392.414918649887
Method 1 K98  score: 25391.43005130616
Method 1 K99  score: 25392.117242050484
Method 1 K100  score: 25391.125816070595
Method 1 K101  score: 25392.953355925947
Method 1 K102  score: 25391.96848858222
Method 1 K103  score: 25392.655679326544
Method 1 K104  score: 25391.664253346655
Method 1 K105  score: 25392.360626437745
Method 1 K106  score: 25391.37575909402
Method 1 K107  score: 25392.062949838342
Method 1 K108  score: 25391.071523858453
Method 1 K109  score: 25392.899063713805
Method 1 K110  score: 25391.91419637008
Method 1 K111  score: 25392.601387114402
Method 1 K112  score: 25391.609961134513
Method 2 K1  score: 30501.979917397595
Method 2 K2  score: 30501.78362297333
Method 2 K3  score: 30494.99683424935
Method 2 K4  score: 30498.644957576733
Method 2 K5  score: 30495.567355087034
Method 2 K6  score: 30495.37106066277
Method 2 K7  score: 30488.584271938787
Method 2 K8  score: 30492.23239526617
Method 2 K9  score: 30747.010376807015
Method 2 K10  score: 30746.81408238275
Method 2 K11  score: 30740.027293658768
Method 2 K12  score: 30743.675416986152
Method 2 K13  score: 30502.044096323418
Method 2 K14  score: 30501.84780189915
Method 2 K15  score: 30495.06101317517
Method 2 K16  score: 30498.709136502555
Method 2 K17  score: 30503.676481231643
Method 2 K18  score: 30503.480186807377
Method 2 K19  score: 30496.693398083396
Method 2 K20  score: 30500.34152141078
Method 2 K21  score: 30307.328859834437
Method 2 K22  score: 30499.008748732238
Method 2 K23  score: 30492.221960008257
Method 2 K24  score: 30495.87008333564
Method 2 K25  score: 30497.263918921082
Method 2 K26  score: 30497.067624496816
Method 2 K27  score: 30504.405700336603
Method 2 K28  score: 30493.92895910022
Method 2 K29  score: 30503.740660157466
Method 2 K30  score: 30507.5443657332
Method 2 K31  score: 30496.75757700922
Method 2 K32  score: 30500.405700336603
Method 2 K33  score: 30492.792480845943
Method 2 K34  score: 30492.596186421677
Method 2 K35  score: 30485.809397697696
Method 2 K36  score: 30489.45752102508
Method 2 K37  score: 30499.269222082326
Method 2 K38  score: 30499.07292765806
Method 2 K39  score: 30492.28613893408
Method 2 K40  score: 30495.934262261464
Method 2 K41  score: 30497.473032064365
Method 2 K42  score: 30497.2767376401
Method 2 K43  score: 30490.489948916118
Method 2 K44  score: 30494.138072243502
Method 2 K45  score: 30491.060469753804
Method 2 K46  score: 30490.864175329538
Method 2 K47  score: 30484.077386605557
Method 2 K48  score: 30487.72550993294
